nannan,Name,Postal_abbs,CitiesCapital,CitiesLargest,Established_Year,Population,Total area_in_mi,Total area_in_km,Land area_in_mi,Land area_in_km,Water area_in_mi,Water area_in_km,Number of Reps
0.0,Alabama,AL,Montgomery,Birmingham,"Dec 14, 1819",4903185,52420,135767,50645,131171,1775,4597,7
1.0,Alaska,AK,Juneau,Anchorage,"Jan 3, 1959",731545,665384,1723337,570641,1477953,94743,245384,1
2.0,Arizona,AZ,Phoenix,Phoenix,"Feb 14, 1912",7278717,113990,295234,113594,294207,396,1026,9
3.0,Arkansas,AR,Little Rock,Little Rock,"Jun 15, 1836",3017804,53179,137732,52035,134771,1143,2961,4
4.0,California,CA,Sacramento,Los Angeles,"Sep 9, 1850",39512223,163695,423967,155779,403466,7916,20501,53
5.0,Colorado,CO,Denver,Denver,"Aug 1, 1876",5758736,104094,269601,103642,268431,452,1170,7
6.0,Connecticut,CT,Hartford,Bridgeport,"Jan 9, 1788",3565278,5543,14357,4842,12542,701,1816,5
7.0,Delaware,DE,Dover,Wilmington,"Dec 7, 1787",973764,2489,6446,1949,5047,540,1399,1
8.0,Florida,FL,Tallahassee,Jacksonville,"Mar 3, 1845",21477737,65758,170312,53625,138887,12133,31424,27
9.0,Georgia,GA,Atlanta,Atlanta,"Jan 2, 1788",10617423,59425,153910,57513,148959,1912,4951,14
10.0,Hawaiʻi,HI,Honolulu,Honolulu,"Aug 21, 1959",1415872,10932,28313,6423,16635,4509,11678,2
11.0,Idaho,ID,Boise,Boise,"Jul 3, 1890",1787065,83569,216443,82643,214045,926,2398,2
12.0,Illinois,IL,Springfield,Chicago,"Dec 3, 1818",12671821,57914,149995,55519,143793,2395,6202,18
13.0,Indiana,IN,Indianapolis,Indianapolis,"Dec 11, 1816",6732219,36420,94326,35826,92789,593,1537,9
14.0,Iowa,IA,Des Moines,Des Moines,"Dec 28, 1846",3155070,56273,145746,55857,144669,416,1077,4
15.0,Kansas,KS,Topeka,Wichita,"Jan 29, 1861",2913314,82278,213100,81759,211754,520,1346,4
16.0,Kentucky[C],KY,Frankfort,Louisville,"Jun 1, 1792",4467673,40408,104656,39486,102269,921,2387,6
17.0,Louisiana,LA,Baton Rouge,New Orleans,"Apr 30, 1812",4648794,52378,135659,43204,111898,9174,23761,6
18.0,Maine,ME,Augusta,Portland,"Mar 15, 1820",1344212,35380,91633,30843,79883,4537,11750,2
19.0,Maryland,MD,Annapolis,Baltimore,"Apr 28, 1788",6045680,12406,32131,9707,25142,2699,6990,8
20.0,Massachusetts[C],MA,Boston,Boston,"Feb 6, 1788",6892503,10554,27336,7800,20202,2754,7134,9
21.0,Michigan,MI,Lansing,Detroit,"Jan 26, 1837",9986857,96714,250487,56539,146435,40175,104052,14
22.0,Minnesota,MN,St. Paul,Minneapolis,"May 11, 1858",5639632,86936,225163,79627,206232,7309,18930,8
23.0,Mississippi,MS,Jackson,Jackson,"Dec 10, 1817",2976149,48432,125438,46923,121531,1508,3907,4
24.0,Missouri,MO,Jefferson City,Kansas City,"Aug 10, 1821",6137428,69707,180540,68742,178040,965,2501,8
25.0,Montana,MT,Helena,Billings,"Nov 8, 1889",1068778,147040,380831,145546,376962,1494,3869,1
26.0,Nebraska,NE,Lincoln,Omaha,"Mar 1, 1867",1934408,77348,200330,76824,198974,524,1356,3
27.0,Nevada,NV,Carson City,Las Vegas,"Oct 31, 1864",3080156,110572,286380,109781,284332,791,2048,4
28.0,New Hampshire,NH,Concord,Manchester,"Jun 21, 1788",1359711,9349,24214,8953,23187,397,1027,2
29.0,New Jersey,NJ,Trenton,Newark,"Dec 18, 1787",8882190,8723,22591,7354,19047,1368,3544,12
30.0,New Mexico,NM,Santa Fe,Albuquerque,"Jan 6, 1912",2096829,121590,314917,121298,314161,292,757,3
31.0,New York,NY,Albany,New York,"Jul 26, 1788",19453561,54555,141297,47126,122057,7429,19240,27
32.0,North Carolina,NC,Raleigh,Charlotte,"Nov 21, 1789",10488084,53819,139391,48618,125920,5201,13471,13
33.0,North Dakota,ND,Bismarck,Fargo,"Nov 2, 1889",762062,70698,183108,69001,178711,1698,4397,1
34.0,Ohio,OH,Columbus,Columbus,"Mar 1, 1803",11689100,44826,116098,40861,105829,3965,10269,16
35.0,Oklahoma,OK,Oklahoma City,Oklahoma City,"Nov 16, 1907",3956971,69899,181037,68595,177660,1304,3377,5
36.0,Oregon,OR,Salem,Portland,"Feb 14, 1859",4217737,98379,254799,95988,248608,2391,6191,5
37.0,Pennsylvania[C],PA,Harrisburg,Philadelphia,"Dec 12, 1787",12801989,46054,119280,44743,115883,1312,3397,18
38.0,Rhode Island[D],RI,Providence,Providence,"May 29, 1790",1059361,1545,4001,1034,2678,511,1324,2
39.0,South Carolina,SC,Columbia,Charleston,"May 23, 1788",5148714,32020,82933,30061,77857,1960,5076,7
40.0,South Dakota,SD,Pierre,Sioux Falls,"Nov 2, 1889",884659,77116,199729,75811,196350,1305,3379,1
41.0,Tennessee,TN,Nashville,Nashville,"Jun 1, 1796",6829174,42144,109153,41235,106798,909,2355,9
42.0,Texas,TX,Austin,Houston,"Dec 29, 1845",28995881,268596,695662,261232,676587,7365,19075,36
43.0,Utah,UT,Salt Lake City,Salt Lake City,"Jan 4, 1896",3205958,84897,219882,82170,212818,2727,7064,4
44.0,Vermont,VT,Montpelier,Burlington,"Mar 4, 1791",623989,9616,24906,9217,23871,400,1035,1
45.0,Virginia[C],VA,Richmond,Virginia Beach,"Jun 25, 1788",8535519,42775,110787,39490,102279,3285,8508,11
46.0,Washington,WA,Olympia,Seattle,"Nov 11, 1889",7614893,71298,184661,66456,172119,4842,12542,10
47.0,West Virginia,WV,Charleston,Charleston,"Jun 20, 1863",1792147,24230,62756,24038,62259,192,497,3
48.0,Wisconsin,WI,Madison,Milwaukee,"May 29, 1848",5822434,65496,169635,54158,140268,11339,29367,8
49.0,Wyoming,WY,Cheyenne,Cheyenne,"Jul 10, 1890",578759,97813,253335,97093,251470,720,1864,1
